Question_1,Question_2,flag
What if I accidentally deleted the whole test case?,What if I accident ally de leted the who le test case?,1
"No.
",No.,1
"Thanks for your help.
",We will add the efatrue in future,0
Can I use scratch input classification tree?,Can I use scratch inp3ut 2cl2assifica^ti_on tree?,1
"Go to  Login → Get Started → Test Case Group
",can be i use input classification style files as did my content classification?,0
So I can’t test NLP applications. Is it right?,so she can and t test with you. is it right?,1
It’s needed to simplify the work,three will s needed to simplify the work,1
It’s needed to simplify the work,be there any limit to the number of houses where we can enter?,0
Can I continue to modify on it?,how can another i do the reverse version control of just the input image and context classification input?,0
Can the tool generate test cases for one app without input and context definition by users?,Can the tool genereatDe tGest case6s for one app without input and co0ntsext definition by userks?,1
 Can functional and performance tests both be done?,may i not ask how far many nodes exist in your context tree?,0
"Test cases can be generated for any type of application
",just how many contents can someone i add to my social context?,0
"No
",robertson,1
"Application output is stored in the form of String. This output is generated by the application.
","sorry, we still don't have any this other option right of now. if you now have one more question, please contact admin.",0
"Users can create an output tree or output tree can be generated automatically based on the input and context tree. Once the “test case group” is created, users can edit input,context and output trees.
","Mose croll to zom - in and zom - out the tee, or lick and hold to move tree around.",0
Name the files accordingly and store multiple versions of the file. Also copy tree function is available,"of presence. mouse operator on the node and right click. choose the "" hello child node "" configuration. software must preview each nodes to be added in the boot window.",0
"Move mouse over the node. Right click on it and option to delete the node will be displayed.
",start mouse in the node. right click on it for option to delete the node or enter empty.,1
"“Create Child Node” option. A popup window will open. There is a plus(+) symbol on the popup window. With this you can add as many nodes required,then click create to add nodes to the tree.
","“ Create Child N ode ” option. A po pup wi ndow will op en. There is a p lus (+) sym bol on the popup window. With this you can add as m any nodes re quired, then click cr eate to add no des to the tree.",1
Can multiple users modify the same application input and context classification input?,Can multiple users modify the asme application input and context calssfiicatnio ipnut?,1
"Unfortunately no. If user deleted input/context test case then user will need to retrigger the generate test case action.
",unfortunately no. as if user deleted input / context for test to case then new user will need me to directly retrigger the and generate test case action.,1
Where can I find the deleted test case?,"Oh, sorry to iform you tat our context tre onl supports up to 3 level of dsign. I am afraid you have to get rid of the 4th lvel or smplif your deign to 3 leves.",0
Yes.,so yes.,1
Go to  Login → Get Started → DATA ADMINISTRATION WITH GRAPH,Go to Log in → Get Started → D ATA A DMINISTRATION WITH GRAPH,1
What are the maximum child nodes for the parents nodes (child nodes for Invalid; child nodes for Valid)?,"and sorry, so we don't even have that option.",0
Can we customize property to each node?,we can in t do that,0
How can I reset my password? I can’t remember my password. ,How can I reste my apsswrod? I can ’ t remember my psasowrd.,1
"I don't know how to create a child node from input classification, Could you help me?","I don ' t know how to creat@e a tchild node yfrom 7input clwanssibficatNion, Could you hBelp me?",1
Expected output is generated from output tree and stored as tree (similar to the input and context tree).,receive output not generated from output tree and output as tree ( similar for the input node export tree ).,1
"What’s the performance test do you mean?
","thus you eventually can customize your context features by initially simply changing over the labels of nodes, thereby adding or carefully deleting nodes in creating the context tree.",0
 Currently the app is in the development stage. So the performance capabilities are limited and not supported.,Currently the app is in the develpomten stage. So the perfroamnec capabilities are limited and not usppotred.,1
